SD_NM,SGG_NM,SGG_CD,sigungu_n in r,PM10,PM2_5,NO2
서울특별시,종로구,11010,1,42.28336687,27.38791749,28.7612043
서울특별시,중구,11020,2,43.09130767,28.09421117,34.24345148
서울특별시,용산구,11030,3,43.00548106,27.99675837,33.93083156
서울특별시,성동구,11040,4,43.33993288,28.37651549,35.14904612
서울특별시,광진구,11050,5,43.2298546,28.34073923,34.95153521
서울특별시,동대문구,11060,6,43.32447284,28.49960315,33.4420928
서울특별시,중랑구,11070,7,43.30306745,28.53154177,32.96127451
서울특별시,성북구,11080,8,42.78261071,27.95873049,30.5613747
서울특별시,강북구,11090,9,42.98227971,27.84890325,28.6923412
서울특별시,도봉구,11100,10,43.32338185,28.69179689,29.42685623
서울특별시,노원구,11110,11,43.25560094,28.72422011,31.17815697
서울특별시,은평구,11120,12,42.51232197,27.47803415,27.15855278
서울특별시,서대문구,11130,13,42.61836638,27.65773646,31.30746271
서울특별시,마포구,11140,14,43.95335477,28.83728747,33.28193969
서울특별시,양천구,11150,15,45.24643249,30.07038376,32.91627279
서울특별시,강서구,11160,16,45.47693198,30.31247428,32.17386225
서울특별시,구로구,11170,17,44.32990524,29.50638285,33.24729366
서울특별시,금천구,11180,18,43.95689312,29.48086808,35.43167389
서울특별시,영등포구,11190,19,43.50657509,28.51444906,33.80258536
서울특별시,동작구,11200,20,43.3136622,28.51922623,34.57683408
서울특별시,관악구,11210,21,43.92573171,29.51476838,35.97615965
서울특별시,서초구,11220,22,44.35496822,29.51375236,38.13786386
서울특별시,강남구,11230,23,43.80234525,28.96645363,36.46018672
서울특별시,송파구,11240,24,41.4441859,27.86266508,32.5325233
서울특별시,강동구,11250,25,40.28569786,27.38863088,30.204996
경기도,수원시 장안구,31011,26,45.38688433,31.9538352,33.31334051
경기도,수원시 권선구,31012,27,46.46690059,33.25075687,32.07386796
경기도,수원시 팔달구,31013,28,46.49126603,32.97297763,33.63971672
경기도,수원시 영통구,31014,29,46.42022223,33.12766285,33.09750323
경기도,성남시 수정구,31021,30,44.46846069,30.04732262,37.80647595
경기도,성남시 중원구,31022,31,44.47437958,30.20265075,37.10446961
경기도,성남시 분당구,31023,32,43.29945194,30.18990532,34.57004037
경기도,의정부시,31030,33,43.96433495,29.90663141,26.44788014
경기도,안양시 만안구,31041,34,45.56656943,29.94069044,36.84740151
경기도,안양시 동안구,31042,35,46.0400354,30.08980059,37.40063513
경기도,부천시 원미구,31051,36,46.03895788,30.61221673,33.3642812
경기도,부천시 소사구,31052,37,45.11765403,29.91751897,33.58868868
경기도,부천시 오정구,31053,38,45.55107706,30.67998361,31.82319654
경기도,광명시,31060,39,43.9054452,29.28660432,33.08469202
경기도,평택시,31070,40,41.28923394,34.51912252,16.51179647
경기도,동두천시,31080,41,51.20775823,38.22800216,19.24565838
경기도,안산시 상록구,31091,42,45.22841785,30.99029243,31.78951048
경기도,안산시 단원구,31092,43,44.21625439,31.44222423,23.20337859
경기도,고양시 덕양구,31101,44,46.13811726,30.11056055,25.1869546
경기도,고양시 일산동구,31103,45,47.60260725,32.63190752,24.74742281
경기도,고양시 일산서구,31104,46,48.88363743,34.36807669,24.07252736
경기도,과천시,31110,47,44.52213367,29.80309297,38.31604405
경기도,구리시,31120,48,42.44088489,28.55650427,30.33250531
경기도,남양주시,31130,49,42.26731143,29.22975443,24.86493081
경기도,오산시,31140,50,48.10879416,38.05037544,25.69005902
경기도,시흥시,31150,51,44.35976311,29.76906929,31.57838839
경기도,군포시,31160,52,46.77829033,31.04673966,36.52458698
경기도,의왕시,31170,53,43.93752784,29.90857876,34.21257912
경기도,하남시,31180,54,40.2024369,27.76112184,29.38578557
경기도,용인시 처인구,31191,55,50.98281585,41.45079739,24.94881332
경기도,용인시 기흥구,31192,56,46.67595209,34.82505653,30.34264824
경기도,용인시 수지구,31193,57,43.29940383,30.3631186,33.13864643
경기도,파주시,31200,58,48.99492712,37.3243726,19.48218127
경기도,이천시,31210,59,55.21425384,46.12579084,20.20430271
경기도,안성시,31220,60,52.68717908,44.7253874,18.84538178
경기도,김포시,31230,61,46.9141015,35.11527345,20.35289069
경기도,화성시,31240,62,49.06501455,38.31031728,22.88245148
경기도,광주시,31250,63,45.10845557,33.13202186,27.90545955
경기도,양주시,31260,64,48.36412637,32.92219203,22.01746498
경기도,포천시,31270,65,50.17855326,40.4849603,14.92174502
경기도,여주군,31320,66,55.55302552,46.64152108,18.18760086
경기도,연천군,31350,67,43.56922874,37.30702844,9.786058175
경기도,가평군,31370,68,44.13390916,35.26812741,14.70840927
경기도,양평군,31380,69,44.37235646,35.3803452,17.98822472
부산광역시,중구,21010,70,44.52778324,35.69635421,21.27079057
부산광역시,서구,21020,71,46.04318594,36.04260462,22.57311505
부산광역시,동구,21030,72,44.52778324,35.69635421,21.27082933
부산광역시,영도구,21040,73,46.63324335,35.44685294,24.11929685
부산광역시,부산진구,21050,74,42.30699473,34.93365379,19.79005402
부산광역시,동래구,21060,75,40.02340739,33.32731205,19.01861704
부산광역시,남구,21070,76,46.2823572,34.34253267,24.45983748
부산광역시,북구,21080,77,41.5146542,35.24817647,19.14039396
부산광역시,해운대구,21090,78,38.95408945,31.44080509,19.20628868
부산광역시,사하구,21100,79,49.68658302,38.85266677,22.91955201
부산광역시,금정구,21110,80,41.30128455,35.02707078,19.16563035
부산광역시,강서구,21120,81,49.29148949,40.49745307,18.768508
부산광역시,연제구,21130,82,39.51647563,32.6601672,19.13318516
부산광역시,수영구,21140,83,40.40669091,32.12873459,20.5506306
부산광역시,사상구,21150,84,45.1293033,37.13037564,20.1606737
부산광역시,기장군,21310,85,40.47287821,33.46632254,18.71758898
대구광역시,중구,22010,86,39.0443199,33.9582115,20.51276846
대구광역시,동구,22020,87,41.80166103,36.97833243,18.52970315
대구광역시,서구,22030,88,41.78741259,36.44077615,19.02152032
대구광역시,남구,22040,89,39.96408369,34.55769334,21.97517149
대구광역시,북구,22050,90,41.02524784,35.73706793,18.71135763
대구광역시,수성구,22060,91,39.31553843,34.25990115,21.41078624
대구광역시,달서구,22070,92,41.61871133,36.31844412,19.73828783
대구광역시,달성군,22310,93,41.03216023,35.73908933,19.88686744
인천광역시,중구,23010,94,42.28808683,30.76328761,21.18199435
