SD_NM,SGG_NM,NO2__RR,NO2__RR_L,NO2__RR_U,NO2__ad,NO2__ad_L,NO2__ad_U,PM10__RR,PM10__RR_L,PM10__RR_U,PM10__ad,PM10__ad_L,PM10__ad_U,PM2_5__RR,PM2_5__RR_L,PM2_5__RR_U,PM2_5__ad,PM2_5__ad_L,PM2_5__ad_U,SGG_CD,SD_CD
서울특별시,종로구,0.989,0.955,1.023,0,0,96,0.999,0.984,1.014,0,0,86,1.007,0.992,1.022,29,0,85,11010,11
서울특별시,중구,0.995,0.962,1.03,0,0,116,1,0.984,1.015,0,0,76,1.007,0.991,1.022,24,0,71,11020,11
서울특별시,용산구,0.989,0.956,1.022,0,0,136,0.998,0.983,1.013,0,0,104,1.006,0.99,1.02,32,0,105,11030,11
서울특별시,성동구,0.993,0.96,1.026,0,0,193,1,0.985,1.015,0,0,140,1.007,0.991,1.022,45,0,133,11040,11
서울특별시,광진구,0.994,0.962,1.027,0,0,205,1,0.985,1.015,2,0,143,1.007,0.991,1.021,45,0,133,11050,11
서울특별시,동대문구,0.997,0.965,1.03,0,0,304,1.001,0.986,1.016,13,0,213,1.008,0.992,1.022,68,0,194,11060,11
서울특별시,중랑구,1.008,0.976,1.044,97,0,468,1.003,0.988,1.019,46,0,274,1.009,0.994,1.024,90,0,235,11070,11
서울특별시,성북구,0.99,0.957,1.023,0,0,253,1,0.985,1.015,4,0,231,1.008,0.993,1.022,83,0,226,11080,11
서울특별시,강북구,0.994,0.959,1.028,0,0,240,1,0.984,1.015,0,0,194,1.007,0.99,1.021,58,0,178,11090,11
서울특별시,도봉구,0.991,0.955,1.027,0,0,221,1,0.984,1.016,0,0,198,1.007,0.99,1.023,60,0,184,11100,11
서울특별시,노원구,1.001,0.97,1.033,11,0,449,1.002,0.987,1.016,34,0,312,1.008,0.992,1.022,100,0,276,11110,11
서울특별시,은평구,0.984,0.947,1.021,0,0,218,0.997,0.98,1.013,0,0,221,1.007,0.99,1.022,75,0,238,11120,11
서울특별시,서대문구,0.988,0.952,1.024,0,0,188,0.998,0.981,1.014,0,0,154,1.007,0.99,1.023,49,0,157,11130,11
서울특별시,마포구,0.985,0.952,1.017,0,0,153,0.998,0.983,1.012,0,0,147,1.006,0.99,1.02,49,0,156,11140,11
서울특별시,양천구,0.985,0.949,1.019,0,0,197,0.998,0.981,1.014,0,0,195,1.007,0.99,1.022,64,0,205,11150,11
서울특별시,강서구,0.999,0.968,1.032,0,0,422,1.001,0.986,1.015,13,0,287,1.008,0.993,1.022,100,0,275,11160,11
서울특별시,구로구,0.983,0.949,1.015,0,0,142,0.999,0.984,1.013,0,0,166,1.007,0.991,1.021,57,0,172,11170,11
서울특별시,금천구,0.992,0.957,1.027,0,0,174,0.999,0.983,1.015,0,0,124,1.007,0.989,1.022,37,0,120,11180,11
서울특별시,영등포구,0.99,0.958,1.022,0,0,212,0.998,0.983,1.012,0,0,156,1.006,0.99,1.02,49,0,163,11190,11
서울특별시,동작구,0.986,0.951,1.02,0,0,194,0.997,0.98,1.013,0,0,150,1.005,0.987,1.02,40,0,161,11200,11
서울특별시,관악구,0.986,0.955,1.018,0,0,216,0.998,0.983,1.012,0,0,181,1.006,0.99,1.02,59,0,198,11210,11
서울특별시,서초구,0.987,0.954,1.02,0,0,180,0.997,0.982,1.012,0,0,131,1.005,0.988,1.02,38,0,140,11220,11
서울특별시,강남구,0.986,0.953,1.018,0,0,197,0.999,0.984,1.014,0,0,176,1.006,0.99,1.021,56,0,176,11230,11
서울특별시,송파구,0.988,0.954,1.022,0,0,261,0.999,0.983,1.014,0,0,221,1.006,0.989,1.021,64,0,215,11240,11
서울특별시,강동구,1.004,0.97,1.039,37,0,374,1.002,0.987,1.017,27,0,229,1.007,0.991,1.022,69,0,199,11250,11
경기도,수원시 장안구,0.996,0.961,1.03,0,0,217,1.001,0.984,1.016,6,0,162,1.008,0.991,1.023,55,0,159,31011,31
경기도,수원시 권선구,1.002,0.969,1.037,16,0,254,1.001,0.986,1.017,15,0,171,1.008,0.993,1.023,63,0,169,31012,31
경기도,수원시 팔달구,0.999,0.962,1.037,0,0,216,1.001,0.984,1.019,12,0,157,1.009,0.991,1.026,54,0,153,31013,31
경기도,수원시 영통구,1.004,0.97,1.04,17,0,162,1.001,0.985,1.017,7,0,98,1.008,0.992,1.023,36,0,97,31014,31
경기도,성남시 수정구,1.002,0.971,1.036,17,0,247,1,0.986,1.014,3,0,123,1.007,0.992,1.021,42,0,118,31021,31
경기도,성남시 중원구,1.004,0.97,1.04,33,0,286,1.002,0.986,1.018,17,0,159,1.008,0.992,1.023,50,0,140,31022,31
경기도,성남시 분당구,0.985,0.95,1.019,0,0,172,0.999,0.983,1.014,0,0,163,1.006,0.99,1.021,53,0,166,31023,31
경기도,의정부시,0.995,0.961,1.029,0,0,253,1.001,0.986,1.017,19,0,238,1.007,0.991,1.022,73,0,213,31030,31
경기도,안양시 만안구,0.996,0.964,1.029,0,0,195,1,0.985,1.015,2,0,127,1.007,0.992,1.022,43,0,120,31041,31
경기도,안양시 동안구,0.994,0.96,1.029,0,0,201,0.999,0.983,1.015,0,0,130,1.007,0.99,1.022,41,0,125,31042,31
경기도,부천시 원미구,1,0.965,1.036,0,0,317,1.002,0.986,1.018,25,0,228,1.009,0.993,1.026,79,0,210,31051,31
경기도,부천시 소사구,0.998,0.965,1.032,0,0,176,1.001,0.986,1.017,11,0,125,1.009,0.993,1.024,44,0,117,31052,31
경기도,부천시 오정구,1.002,0.969,1.039,11,0,164,1.002,0.986,1.017,11,0,107,1.009,0.994,1.024,39,0,102,31053,31
경기도,광명시,0.991,0.957,1.026,0,0,188,1,0.984,1.016,1,0,156,1.007,0.991,1.022,50,0,148,31060,31
경기도,평택시,1.012,0.978,1.047,68,0,266,1.006,0.992,1.02,84,0,284,1.011,0.997,1.025,135,0,295,31070,31
경기도,동두천시,0.998,0.957,1.041,0,0,85,1.002,0.985,1.019,12,0,108,1.008,0.99,1.024,33,0,101,31080,31
경기도,안산시 상록구,1.001,0.969,1.035,9,0,241,1.002,0.987,1.016,18,0,166,1.009,0.994,1.023,61,0,157,31091,31
경기도,안산시 단원구,1.005,0.967,1.046,26,0,203,1.004,0.987,1.021,34,0,181,1.01,0.993,1.027,64,0,166,31092,31
경기도,고양시 덕양구,0.999,0.967,1.033,0,0,258,1,0.986,1.014,5,0,205,1.007,0.993,1.021,73,0,197,31101,31
경기도,고양시 일산동구,1.001,0.963,1.041,6,0,185,1.002,0.985,1.018,14,0,160,1.008,0.991,1.024,51,0,146,31103,31
경기도,고양시 일산서구,0.996,0.955,1.038,0,0,165,1,0.983,1.018,4,0,161,1.007,0.989,1.024,47,0,151,31104,31
경기도,과천시,0.986,0.95,1.021,0,0,35,0.998,0.982,1.014,0,0,26,1.006,0.989,1.021,8,0,27,31110,31
경기도,구리시,1.001,0.967,1.037,5,0,134,1.002,0.987,1.018,12,0,92,1.007,0.991,1.022,26,0,77,31120,31
경기도,남양주시,0.997,0.966,1.029,0,0,307,1.002,0.988,1.015,33,0,279,1.008,0.993,1.02,98,0,258,31130,31
경기도,오산시,1.002,0.959,1.045,5,0,116,1.004,0.985,1.023,20,0,111,1.011,0.992,1.029,42,0,112,31140,31
경기도,시흥시,1.003,0.97,1.038,19,0,253,1.002,0.987,1.018,23,0,171,1.009,0.994,1.024,62,0,158,31150,31
경기도,군포시,0.991,0.956,1.027,0,0,153,1,0.983,1.016,0,0,117,1.007,0.989,1.022,34,0,108,31160,31
경기도,의왕시,0.994,0.961,1.026,0,0,88,1,0.985,1.014,0,0,61,1.007,0.992,1.021,22,0,61,31170,31
경기도,하남시,1,0.966,1.035,0,0,117,1.001,0.986,1.016,6,0,76,1.007,0.992,1.021,25,0,70,31180,31
경기도,용인시 처인구,1.008,0.975,1.044,38,0,195,1.004,0.989,1.018,34,0,165,1.01,0.996,1.023,76,0,175,31191,31
경기도,용인시 기흥구,0.987,0.949,1.023,0,0,136,1,0.983,1.016,0,0,144,1.008,0.99,1.023,53,0,154,31192,31
