SD_NM,SGG_NM,SGG_CD,NO2__RR,NO2__ad,PM2_5__RR,PM2_5__ad,PM10__RR,PM10__ad
서울특별시,종로구,11010,0.989,0,1.007,29,0.999,0
서울특별시,중구,11020,0.995,0,1.007,24,1,0
서울특별시,용산구,11030,0.989,0,1.006,32,0.998,0
서울특별시,성동구,11040,0.993,0,1.007,45,1,0
서울특별시,광진구,11050,0.994,0,1.007,45,1,2
서울특별시,동대문구,11060,0.997,0,1.008,68,1.001,13
서울특별시,중랑구,11070,1.008,97,1.009,90,1.003,46
서울특별시,성북구,11080,0.99,0,1.008,83,1,4
서울특별시,강북구,11090,0.994,0,1.007,58,1,0
서울특별시,도봉구,11100,0.991,0,1.007,60,1,0
서울특별시,노원구,11110,1.001,11,1.008,100,1.002,34
서울특별시,은평구,11120,0.984,0,1.007,75,0.997,0
서울특별시,서대문구,11130,0.988,0,1.007,49,0.998,0
서울특별시,마포구,11140,0.985,0,1.006,49,0.998,0
서울특별시,양천구,11150,0.985,0,1.007,64,0.998,0
서울특별시,강서구,11160,0.999,0,1.008,100,1.001,13
서울특별시,구로구,11170,0.983,0,1.007,57,0.999,0
서울특별시,금천구,11180,0.992,0,1.007,37,0.999,0
서울특별시,영등포구,11190,0.99,0,1.006,49,0.998,0
서울특별시,동작구,11200,0.986,0,1.005,40,0.997,0
서울특별시,관악구,11210,0.986,0,1.006,59,0.998,0
서울특별시,서초구,11220,0.987,0,1.005,38,0.997,0
서울특별시,강남구,11230,0.986,0,1.006,56,0.999,0
서울특별시,송파구,11240,0.988,0,1.006,64,0.999,0
서울특별시,강동구,11250,1.004,37,1.007,69,1.002,27
경기도,수원시 장안구,31011,0.996,0,1.008,55,1.001,6
경기도,수원시 권선구,31012,1.002,16,1.008,63,1.001,15
경기도,수원시 팔달구,31013,0.999,0,1.009,54,1.001,12
경기도,수원시 영통구,31014,1.004,17,1.008,36,1.001,7
경기도,성남시 수정구,31021,1.002,17,1.007,42,1,3
경기도,성남시 중원구,31022,1.004,33,1.008,50,1.002,17
경기도,성남시 분당구,31023,0.985,0,1.006,53,0.999,0
경기도,의정부시,31030,0.995,0,1.007,73,1.001,19
경기도,안양시 만안구,31041,0.996,0,1.007,43,1,2
경기도,안양시 동안구,31042,0.994,0,1.007,41,0.999,0
경기도,부천시 원미구,31051,1,0,1.009,79,1.002,25
경기도,부천시 소사구,31052,0.998,0,1.009,44,1.001,11
경기도,부천시 오정구,31053,1.002,11,1.009,39,1.002,11
경기도,광명시,31060,0.991,0,1.007,50,1,1
경기도,평택시,31070,1.012,68,1.011,135,1.006,84
경기도,동두천시,31080,0.998,0,1.008,33,1.002,12
경기도,안산시 상록구,31091,1.001,9,1.009,61,1.002,18
경기도,안산시 단원구,31092,1.005,26,1.01,64,1.004,34
경기도,고양시 덕양구,31101,0.999,0,1.007,73,1,5
경기도,고양시 일산동구,31103,1.001,6,1.008,51,1.002,14
경기도,고양시 일산서구,31104,0.996,0,1.007,47,1,4
경기도,과천시,31110,0.986,0,1.006,8,0.998,0
경기도,구리시,31120,1.001,5,1.007,26,1.002,12
경기도,남양주시,31130,0.997,0,1.008,98,1.002,33
경기도,오산시,31140,1.002,5,1.011,42,1.004,20
경기도,시흥시,31150,1.003,19,1.009,62,1.002,23
경기도,군포시,31160,0.991,0,1.007,34,1,0
경기도,의왕시,31170,0.994,0,1.007,22,1,0
경기도,하남시,31180,1,0,1.007,25,1.001,6
경기도,용인시 처인구,31191,1.008,38,1.01,76,1.004,34
경기도,용인시 기흥구,31192,0.987,0,1.008,53,1,0
경기도,용인시 수지구,31193,0.97,0,1.006,30,0.998,0
경기도,파주시,31200,0.997,0,1.008,102,1.001,21
경기도,이천시,31210,1.001,2,1.01,80,1.004,36
경기도,안성시,31220,1.009,32,1.011,94,1.006,57
경기도,김포시,31230,0.994,0,1.008,58,1.001,8
경기도,화성시,31240,0.993,0,1.009,109,1.002,25
경기도,광주시,31250,1.002,14,1.009,57,1.002,21
경기도,양주시,31260,1.003,10,1.008,44,1.002,13
경기도,포천시,31270,0.999,0,1.007,57,1.002,18
경기도,여주군,31320,1.001,3,1.01,64,1.004,33
경기도,연천군,31350,0.999,0,1.008,21,1.002,6
경기도,가평군,31370,0.996,0,1.008,25,1.002,9
경기도,양평군,31380,1.005,13,1.009,48,1.004,25
부산광역시,중구,21010,0.994,0,1.012,27,1.005,13
부산광역시,서구,21020,0.998,0,1.012,74,1.005,41
부산광역시,동구,21030,1.002,5,1.013,68,1.006,40
부산광역시,영도구,21040,0.991,0,1.012,82,1.005,42
부산광역시,부산진구,21050,1.001,9,1.012,181,1.006,100
부산광역시,동래구,21060,0.996,0,1.012,99,1.005,51
부산광역시,남구,21070,0.991,0,1.012,114,1.004,56
부산광역시,북구,21080,1.001,3,1.013,119,1.006,69
부산광역시,해운대구,21090,0.995,0,1.011,129,1.005,66
부산광역시,사하구,21100,1.001,6,1.012,157,1.006,92
부산광역시,금정구,21110,0.997,0,1.012,108,1.006,60
