cities_provinces,SD_NM,SD_CD,pop,PM2_5,burden,benefit
Seoul,서울,11,7189442,24.2,1763.4,1252.5
Busan,부산,21,2557993,25.9,947.4,675.5
Daegu,대구,22,1769795,24.9,671.9,474.7
Incheon,인천,23,2045392,27.6,309.4,234.3
Gwangju,광주,24,1028181,24.1,656.8,492
Daejeon,대전,25,1060749,27.2,342.2,244.6
Ulsan,울산,26,809987,24.6,222.3,160.3
Sejong,세종,29,134303,27.7,49.2,36.9
Gyeonggi,경기,31,8571943,25,2352.3,1683.2
Gangwon,강원,32,1104304,20.6,442.7,302.8
Chungbuk,충북,33,966579,26.4,403.4,301.5
Chungnam,충남,34,1471674,25.8,577.9,421.6
Jeollabu,전북,35,1313542,29.1,638.2,495.8
Jeollana,전남,36,1323030,22.4,633.6,433.4
Gyeongbu,경북,37,1960926,21.6,885.3,609
Gyeongna,경남,38,2364910,25,963.4,692.5
Jeju,제주,39,418612,13.6,64.4,28.2
