Basic administrative units,Metropolitan cities/provinces,KOR_SD_NM,KOR_SGG_NM,2015 annual mean PM2.5 (μg/m^3),PM2_5_Ischemic heart disease,PM2_5_Chronic obstructive lung disease,PM2_5_Lung cancer,PM2_5_Stroke,PM2_5__burden__Total,simply_PM2_5__burden__Total
Jongno-gu,Seoul,서울특별시,종로구,23.1,8.8 (6.1–11.3),1.2 (0.4–2),6.5 (1.4–10.6),15.1 (6.3–24.1),31.6 (21.4–41.8),31.6 
Jung-gu,Seoul,서울특별시,중구,23.8,7.1 (4.9–9.2),1 (0.4–1.6),5.4 (1.2–8.7),12.5 (5.2–20.1),26 (17.4–34.5),26 
Yongsan-gu,Seoul,서울특별시,용산구,23.8,12.5 (8.7–16.2),1.7 (0.6–2.8),9.4 (2–15.3),22.1 (9.1–35.4),45.8 (30.7–60.8),45.8 
Seongdong-gu,Seoul,서울특별시,성동구,23.4,14.5 (10.1–18.6),1.8 (0.7–3),10.7 (2.3–17.4),24.7 (10.3–39.3),51.7 (35.1–68.3),51.7 
Gwangjin-gu,Seoul,서울특별시,광진구,22.5,15.6 (10.8–19.8),1.8 (0.7–3),11.1 (2.3–18.1),25.5 (10.9–40),54 (37.4–70.7),54 
Dongdaemun-gu,Seoul,서울특별시,동대문구,22.9,18.7 (13–24),2.4 (0.9–3.9),14 (3–22.7),31.6 (13.3–50.1),66.7 (45.4–87.9),66.7 
Jungnang-gu,Seoul,서울특별시,중랑구,22.7,20.3 (14.1–25.9),2.4 (0.9–4),14.9 (3.1–24.2),33.6 (14.3–53),71.2 (48.9–93.5),71.2 
Seongbuk-gu,Seoul,서울특별시,성북구,22.8,23 (16–29.5),2.9 (1.1–4.8),17 (3.6–27.6),38.6 (16.3–61.2),81.5 (55.7–107.4),81.5 
Gangbuk-gu,Seoul,서울특별시,강북구,22.8,18.3 (12.7–23.4),2.3 (0.9–3.8),13.9 (2.9–22.5),30.7 (12.9–48.7),65.1 (44.5–85.8),65.1 
Dobong-gu,Seoul,서울특별시,도봉구,23,18.7 (13–24),2.4 (0.9–3.9),13.8 (2.9–22.3),31.6 (13.3–50.1),66.4 (45.2–87.6),66.4 
Nowon-gu,Seoul,서울특별시,노원구,22.9,27.7 (19.3–35.6),3.5 (1.3–5.7),19.9 (4.2–32.2),46.6 (19.7–73.8),97.6 (66.7–128.6),97.6 
Eunpyeong-gu,Seoul,서울특별시,은평구,24.7,26.3 (18.2–34),3.4 (1.3–5.5),20.3 (4.4–32.8),46.7 (19.1–74.9),96.7 (64.8–128.6),96.7 
Seodaemun-gu,Seoul,서울특별시,서대문구,25,17.4 (12–22.6),2.4 (0.9–3.9),13.6 (3–21.8),31.5 (12.8–50.7),64.8 (43.2–86.4),64.8 
Mapo-gu,Seoul,서울특별시,마포구,26.1,19.5 (13.5–25.5),2.6 (1–4.3),15.2 (3.4–24.3),36 (14.4–57.8),73.3 (48.8–97.7),73.3 
