SD_NM,SD_CD,SGG_NM,SGG_CD,2012_1,2012_2,2012_3,2012_4,2012_5,2012_6,2012_7,2012_8,2012_9,2012_10,2012_11,2012_12,2013_1,2013_2,2013_3,2013_4,2013_5,2013_6,2013_7,2013_8,2013_9,2013_10,2013_11,2013_12,2014_1,2014_2,2014_3,2014_4,2014_5,2014_6,2014_7,2014_8,2014_9,2014_10,2014_11,2014_12,2015_1,2015_2,2015_3,2015_4,2015_5,2015_6,2015_7,2015_8,2015_9,2015_10,2015_11,2015_12,1mth_avg,2mth_avg,3mth_avg,4mth_avg,5mth_avg,6mth_avg,7mth_avg,8mth_avg,9mth_avg,10mth_avg,11mth_avg,12mth_avg
서울특별시,11,서울특별시,11000,36.39,29.38,24.63,23.71,25.37,21.92,16.25,12.59,16.66,36.39,27.41,33.56,42.34,28.60,26.72,27.22,42.82,36.11,27.90,29.02,25.49,26.04,36.35,49.16,28.83,24.22,21.81,22.44,19.71,15.94,17.54,14.53,14.67,15.64,19.39,18.71,27.10,33.09,17.36,18.58,21.14,20.48,15.14,19.19,15.37,24.45,19.06,20.66,33.85,28.82,22.75,23.08,27.53,23.84,19.32,18.92,18.16,21.44,25.78,30.94
부산광역시,21,부산광역시,21000,37.64,40.49,36.21,37.59,41.31,27.13,29.12,16.95,27.25,37.64,38.37,38.06,47.45,38.13,48.62,38.11,45.42,38.56,30.70,34.20,24.13,26.64,33.23,39.45,40.97,29.04,24.26,21.42,25.44,21.02,21.27,14.08,17.44,17.36,22.52,19.92,34.15,42.23,23.18,16.84,37.48,30.98,20.58,24.00,18.76,26.24,23.27,24.05,40.05,37.38,32.97,28.61,37.30,29.28,25.35,22.30,21.92,24.68,29.25,30.31
대구광역시,22,대구광역시,22000,42.46,41.04,36.20,37.84,37.55,25.32,26.92,18.40,27.72,42.46,41.77,45.81,54.88,42.08,46.87,35.12,40.79,37.17,24.23,31.05,25.65,27.59,33.85,40.55,43.20,33.09,30.78,35.35,38.37,23.89,21.60,16.47,22.99,25.91,32.05,27.32,41.46,45.20,25.17,15.90,32.65,31.14,20.48,22.37,19.86,28.05,27.38,27.39,45.00,40.00,34.44,30.65,36.96,29.18,23.29,22.06,23.74,27.83,33.27,34.81
인천광역시,23,인천광역시,23000,40.45,33.70,29.61,30.32,32.42,24.40,17.68,14.90,20.23,40.45,28.96,33.55,44.12,33.08,32.47,32.03,44.78,39.17,27.40,30.04,28.28,28.23,34.94,45.35,26.41,25.90,23.31,25.33,22.08,19.46,19.57,16.76,17.78,19.07,22.47,18.09,29.24,37.87,20.05,21.39,23.65,23.17,16.56,21.43,17.94,26.40,23.29,22.59,36.14,33.29,26.86,27.69,31.70,27.16,20.68,20.99,21.40,24.30,27.87,30.45
광주광역시,24,광주광역시,24000,39.68,35.13,35.43,33.49,43.42,23.59,17.41,17.03,27.67,39.68,33.21,35.67,44.96,34.70,43.78,33.35,44.28,35.02,22.23,22.20,28.25,27.16,28.89,33.42,35.44,32.83,25.87,26.93,34.84,24.13,17.16,18.07,23.25,22.78,24.63,19.36,31.09,36.99,11.69,18.77,25.13,24.58,16.67,19.20,18.93,33.14,13.24,13.68,36.24,33.94,28.88,27.47,35.56,26.02,18.02,18.74,23.85,26.54,24.88,25.29
대전광역시,25,대전광역시,25000,44.68,37.25,39.97,40.09,43.08,27.81,23.16,17.17,27.57,44.68,38.29,44.48,50.77,40.64,42.79,38.30,44.88,38.35,24.08,24.59,27.85,27.71,32.29,39.87,41.36,36.19,29.07,28.88,33.91,23.30,19.55,14.84,21.06,21.76,25.75,24.39,40.21,46.08,11.22,18.41,32.91,28.22,18.72,21.37,20.12,33.70,13.20,12.53,43.46,39.42,30.78,31.43,38.43,29.31,21.18,19.60,24.26,27.83,27.51,30.29
울산광역시,26,울산광역시,26000,40.36,46.74,37.43,43.98,46.38,31.57,40.29,20.71,30.77,40.36,39.06,38.44,48.28,39.29,49.46,35.27,47.87,43.19,34.52,40.25,24.24,26.44,33.16,39.83,41.23,29.90,28.11,28.22,31.43,23.95,24.41,13.29,17.63,18.41,24.93,22.42,35.03,44.62,25.71,17.46,43.29,34.61,25.65,25.16,17.98,27.18,23.99,24.98,41.99,40.78,34.93,31.49,42.29,33.17,30.92,24.84,22.98,26.60,30.02,31.22
세종특별자치시,29,세종특별자치시,29010,47.46,39.94,44.90,44.26,46.48,31.26,25.34,18.80,30.16,47.46,41.38,49.80,56.97,44.06,47.49,44.37,50.08,41.79,26.43,28.83,29.47,28.57,34.38,44.50,45.55,40.29,29.75,29.53,30.84,23.00,20.36,15.63,22.61,25.30,28.33,24.38,42.17,48.99,13.83,21.69,34.56,31.67,20.97,24.73,22.39,34.57,14.79,14.27,44.05,39.39,34.58,33.00,40.82,32.26,24.41,21.33,24.10,25.49,30.35,33.93
경기도,31,경기도,31000,42.20,33.49,30.25,30.96,32.35,27.17,19.97,15.61,21.75,42.20,32.70,38.58,47.87,32.82,33.66,34.64,48.55,42.43,31.39,33.55,29.37,30.21,39.85,52.74,32.75,27.75,24.58,26.19,24.95,18.97,19.84,17.29,18.49,20.24,23.36,20.66,30.90,36.90,15.28,20.48,24.59,23.93,17.49,21.67,18.60,27.58,17.00,18.21,38.36,32.69,25.93,28.02,32.53,28.08,22.13,21.99,22.01,25.38,28.23,32.56
강원도,32,강원도,32000,38.86,32.68,32.44,35.19,29.48,22.32,19.58,13.72,18.90,38.86,32.13,35.12,41.86,32.16,36.40,31.62,38.16,27.32,24.17,27.47,20.58,20.98,29.49,42.17,25.49,19.83,20.56,21.63,22.69,14.49,14.64,12.08,12.27,13.96,16.41,14.33,29.08,35.47,14.45,16.12,27.59,21.86,15.18,16.37,13.05,20.31,12.03,16.08,34.50,30.63,26.17,26.43,29.80,21.83,18.60,17.63,16.52,20.04,22.79,27.11
