SD_NM,SD_CD,SGG_NM,SGG_CD,2012_1,2012_2,2012_3,2012_4,2012_5,2012_6,2012_7,2012_8,2012_9,2012_10,2012_11,2012_12,2013_1,2013_2,2013_3,2013_4,2013_5,2013_6,2013_7,2013_8,2013_9,2013_10,2013_11,2013_12,2014_1,2014_2,2014_3,2014_4,2014_5,2014_6,2014_7,2014_8,2014_9,2014_10,2014_11,2014_12,2015_1,2015_2,2015_3,2015_4,2015_5,2015_6,2015_7,2015_8,2015_9,2015_10,2015_11,2015_12,1mth_avg,2mth_avg,3mth_avg,4mth_avg,5mth_avg,6mth_avg,7mth_avg,8mth_avg,9mth_avg,10mth_avg,11mth_avg,12mth_avg
서울특별시,11,종로구,11010,34.74,28.39,24.03,22.31,24.18,20.96,15.06,11.85,15.14,34.74,25.73,32.58,38.56,26.56,25.43,26.16,42.66,35.66,28.05,29.28,25.03,24.92,34.22,47.69,28.78,24.18,21.73,21.93,19.24,15.35,17.27,14.29,14.26,15.30,19.02,18.73,27.14,33.06,17.01,18.26,20.72,19.93,14.88,18.88,14.85,23.55,18.79,20.25,36.65,27.47,24.73,24.23,33.42,28.31,21.55,20.56,20.08,21.29,29.98,40.14
서울특별시,11,중구,11020,36.07,29.36,24.80,24.37,24.82,21.24,15.83,12.69,15.90,36.07,26.80,33.46,43.40,28.86,26.82,26.79,41.31,34.34,26.95,27.51,24.17,25.17,35.76,48.26,29.02,23.70,21.24,21.82,19.57,15.54,17.12,14.19,14.41,15.54,19.36,19.13,27.50,33.73,16.52,18.57,21.47,20.52,15.40,19.33,15.34,24.32,17.85,19.84,33.85,28.87,22.59,22.84,26.52,22.71,18.73,18.34,17.30,20.81,25.09,30.18
서울특별시,11,용산구,11030,35.66,29.15,24.83,24.44,24.69,21.06,15.59,12.88,15.78,35.66,26.78,33.13,43.05,28.82,27.01,26.75,41.39,34.42,26.83,27.46,24.08,25.10,35.51,47.98,29.02,23.70,21.24,21.82,19.57,15.54,17.12,14.19,14.41,15.54,19.36,19.13,27.50,33.73,16.52,18.57,21.47,20.52,15.40,19.33,15.34,24.32,17.85,19.84,33.81,28.85,22.40,22.90,26.78,22.88,18.73,18.46,17.40,21.04,24.87,30.02
서울특별시,11,성동구,11040,37.26,29.97,24.73,24.14,25.17,21.76,16.55,12.13,16.25,37.26,26.89,34.43,44.41,28.97,26.29,26.89,41.09,34.10,27.31,27.66,24.45,25.36,36.50,49.08,29.88,24.37,21.75,22.24,20.24,15.72,17.31,14.31,14.37,15.62,19.41,19.51,27.70,33.94,15.62,18.63,21.34,19.91,15.32,19.37,15.37,24.18,17.38,19.28,34.55,29.09,22.19,22.85,26.82,22.98,19.09,18.33,17.61,21.13,25.15,30.62
서울특별시,11,광진구,11050,37.18,29.87,24.68,24.10,25.14,21.73,16.49,12.11,16.22,37.18,26.87,34.36,44.27,28.91,26.29,26.86,41.08,34.10,27.30,27.67,24.44,25.36,36.46,49.06,28.99,23.84,21.38,21.80,19.54,15.35,16.85,14.18,14.16,15.37,19.13,19.05,27.29,32.92,16.01,18.23,20.59,19.41,14.76,18.63,15.00,23.66,17.89,19.71,34.76,29.27,22.08,22.96,26.95,22.87,19.10,18.36,17.60,21.11,25.03,30.55
서울특별시,11,동대문구,11060,36.82,29.08,24.09,23.54,25.13,21.99,16.17,12.27,16.69,36.82,27.42,34.12,43.63,28.69,26.52,26.91,42.26,34.55,27.34,28.14,25.34,26.35,36.94,50.26,29.80,24.50,21.92,22.22,19.51,15.40,17.04,14.26,14.14,15.43,19.17,19.11,27.49,33.42,16.79,18.75,21.04,19.80,15.08,18.98,15.17,23.99,18.65,20.46,34.18,28.63,22.00,22.62,26.88,22.83,18.78,18.31,17.80,21.17,25.34,30.78
서울특별시,11,중랑구,11070,36.71,28.85,23.94,23.39,25.12,22.04,16.07,12.30,16.79,36.71,27.54,34.04,43.38,28.57,26.55,26.90,42.59,34.71,27.37,28.29,25.56,26.62,37.10,50.58,29.31,24.61,22.13,22.52,19.87,15.63,17.25,14.35,14.28,15.46,19.24,19.13,27.18,32.62,16.83,18.36,20.66,19.51,14.84,18.70,15.05,23.69,18.68,20.49,34.35,28.84,22.30,22.82,27.06,22.99,18.89,18.46,17.92,21.34,25.62,31.05
서울특별시,11,성북구,11080,35.74,28.56,23.89,22.68,24.65,21.55,15.57,11.99,16.00,35.74,26.63,33.33,40.78,27.46,25.90,26.52,42.75,35.24,27.79,28.91,25.43,25.84,35.66,49.26,28.54,24.66,22.21,22.04,18.91,15.15,17.41,14.40,14.11,15.06,18.68,18.33,26.78,32.40,17.50,17.96,19.98,19.33,14.35,18.43,14.36,22.78,19.73,20.66,33.25,28.31,22.19,22.52,26.98,22.98,18.86,18.49,17.69,20.85,25.05,30.55
서울특별시,11,강북구,11090,35.55,28.36,23.75,22.29,24.34,21.30,15.35,11.84,15.70,35.55,26.29,32.86,39.33,26.42,25.24,26.20,43.05,36.17,28.29,29.81,26.21,26.49,35.47,49.41,27.38,24.61,22.53,22.43,19.51,15.18,17.47,14.43,13.97,14.93,18.53,18.12,26.26,31.45,15.74,17.00,18.94,18.36,13.83,17.65,13.61,21.74,18.16,18.66,32.55,27.96,22.18,22.12,26.57,22.99,18.85,18.62,17.59,20.61,25.04,30.32
서울특별시,11,도봉구,11100,38.15,28.73,23.88,22.73,24.83,22.24,16.05,12.20,17.09,38.15,27.93,33.61,40.67,25.26,23.44,26.29,43.74,37.03,29.14,30.61,27.35,28.30,37.70,51.03,27.38,24.61,22.53,22.43,19.51,15.18,17.47,14.43,13.97,14.93,18.53,18.12,26.26,31.45,15.74,17.00,18.94,18.36,13.83,17.65,13.61,21.74,18.16,18.66,33.11,27.51,21.40,22.11,26.76,23.20,19.13,18.72,18.01,21.22,25.58,30.36
서울특별시,11,노원구,11110,37.93,28.86,23.96,23.08,25.06,22.33,16.17,12.30,17.19,37.93,28.03,33.94,42.05,26.54,24.49,26.59,43.33,36.05,28.49,29.64,26.60,27.65,37.69,50.91,28.58,24.74,22.85,22.80,19.66,15.04,16.92,14.21,13.77,14.96,18.59,18.37,26.89,32.01,15.99,17.55,19.13,18.46,14.16,17.67,13.88,22.15,18.27,19.37,33.41,27.87,21.68,22.28,26.71,22.98,18.99,18.51,17.84,21.06,25.60,30.41
서울특별시,11,은평구,11120,34.60,28.36,23.99,21.91,24.23,21.04,15.03,11.67,15.07,34.60,25.58,32.44,37.51,26.13,25.19,26.18,43.78,36.80,28.76,30.13,25.61,25.21,34.27,48.07,28.22,24.19,21.89,22.40,19.38,15.79,17.89,14.55,14.76,15.52,19.34,18.45,27.38,33.58,19.31,18.59,21.09,20.68,14.96,19.28,15.19,24.32,20.65,21.84,31.89,27.81,22.01,22.11,26.70,22.83,18.72,18.42,17.08,19.93,24.18,29.56
서울특별시,11,서대문구,11130,35.06,28.72,24.46,23.44,24.40,20.93,15.24,12.45,15.41,35.06,26.24,32.73,40.73,27.70,26.30,26.45,42.02,35.05,27.38,28.32,24.49,24.96,34.77,47.70,28.25,23.94,21.46,21.94,19.12,15.53,17.56,14.34,14.63,15.43,19.25,18.37,27.34,33.57,18.83,18.49,21.00,20.70,14.95,19.15,15.16,24.30,20.38,21.80,32.85,28.55,22.99,22.72,26.72,23.11,18.86,18.65,17.46,20.81,25.25,30.18
서울특별시,11,마포구,11140,36.08,29.76,25.50,24.66,25.93,21.99,16.40,13.10,16.58,36.08,27.48,33.10,43.30,29.60,27.56,27.67,43.47,36.67,27.67,28.75,25.15,25.98,36.45,49.12,28.51,24.03,21.74,22.58,19.49,15.98,17.84,14.53,14.91,15.73,19.65,18.61,27.75,34.15,20.06,19.11,21.71,21.25,15.32,19.61,15.68,25.18,21.02,22.55,33.74,29.22,23.34,23.19,27.38,23.72,19.14,18.84,17.88,21.38,25.89,30.60
서울특별시,11,양천구,11150,36.98,30.81,26.47,24.95,27.84,23.45,17.77,13.30,17.84,36.98,28.56,33.29,44.05,30.83,28.26,29.03,46.05,39.53,28.75,30.47,26.61,27.16,37.89,50.79,28.88,24.07,21.49,22.91,19.48,16.53,17.88,14.60,15.26,15.97,19.96,18.30,27.62,33.91,19.88,19.53,21.83,21.98,15.58,19.67,16.16,26.36,21.58,23.57,34.32,29.95,24.13,23.92,28.77,25.05,19.92,19.48,18.76,22.20,26.78,31.31
서울특별시,11,강서구,11160,37.16,30.94,26.54,25.09,27.84,23.53,17.70,13.40,17.91,37.16,28.54,33.40,43.78,30.70,28.40,29.04,46.71,40.52,29.39,31.28,27.54,27.91,38.18,50.95,28.90,24.90,22.81,24.19,20.10,17.24,18.97,15.34,15.68,16.67,20.71,18.96,28.58,35.70,22.00,20.05,22.38,21.77,15.48,20.29,16.47,26.14,23.99,24.83,34.36,29.90,24.08,24.14,28.96,25.64,20.14,19.74,19.22,22.74,27.06,31.56
서울특별시,11,구로구,11170,37.14,30.76,25.75,23.89,26.69,21.94,16.32,12.64,17.28,37.14,28.04,33.08,42.86,30.25,28.34,28.14,44.38,38.72,27.85,29.76,26.82,26.95,38.50,51.93,28.92,23.96,21.40,22.53,19.46,16.40,17.65,14.60,15.13,15.92,19.74,18.41,27.10,33.46,18.86,19.31,22.07,21.98,15.74,19.84,16.16,26.05,20.31,22.32,34.37,30.40,24.72,24.07,28.39,24.92,19.66,19.51,19.06,22.40,27.81,32.20
서울특별시,11,금천구,11180,36.86,30.56,24.81,23.64,26.34,22.88,17.30,13.64,18.84,36.86,29.60,34.41,43.39,31.00,28.96,28.96,43.49,37.35,27.93,29.62,26.03,25.87,36.31,48.38,29.14,24.35,21.77,23.07,19.77,17.12,17.97,14.99,15.47,16.13,19.82,18.24,26.32,32.52,18.00,19.41,22.25,22.41,15.99,20.09,16.44,26.50,19.82,21.79,34.07,29.75,23.51,23.61,27.84,24.65,19.65,19.42,19.04,22.26,26.49,30.88
서울특별시,11,영등포구,11190,35.88,29.53,25.15,24.50,25.43,21.67,16.12,13.13,16.47,35.88,27.42,33.19,43.18,29.43,27.51,27.42,42.53,35.71,27.27,28.24,24.71,25.53,35.91,48.38,28.92,23.96,21.40,22.53,19.46,16.40,17.65,14.60,15.13,15.92,19.74,18.41,27.10,33.46,18.86,19.31,22.07,21.98,15.74,19.84,16.16,26.05,20.31,22.32,33.63,28.96,23.10,23.60,27.49,24.23,19.34,19.11,18.27,21.97,25.74,30.40
서울특별시,11,동작구,11200,35.94,29.58,24.76,24.18,25.25,21.79,16.26,13.33,17.02,35.94,27.96,33.62,43.15,29.69,27.83,27.65,42.14,35.40,27.22,28.23,24.68,25.26,35.50,47.66,28.96,23.84,21.31,22.14,19.44,16.27,17.42,14.59,14.99,15.87,19.53,18.51,26.58,33.02,17.84,19.08,22.31,21.99,15.90,20.00,16.15,25.74,19.04,21.08,33.78,29.17,23.21,23.41,27.23,23.89,19.22,19.00,18.25,21.83,25.88,30.50
서울특별시,11,관악구,11210,36.77,30.51,24.62,23.65,26.33,23.23,17.67,13.95,19.29,36.77,30.04,34.77,43.61,31.24,29.12,29.23,43.38,37.05,28.01,29.63,25.81,25.60,35.69,47.37,29.76,24.66,21.88,22.88,19.99,17.19,17.90,15.13,15.54,16.28,19.76,18.28,25.85,32.52,18.27,19.66,23.02,22.84,16.32,20.70,17.01,27.02,19.76,21.75,33.98,29.65,23.22,23.53,27.87,24.63,19.75,19.54,19.06,22.21,26.08,30.43
서울특별시,11,서초구,11220,36.92,30.00,24.68,24.31,26.15,23.02,17.58,13.63,17.94,36.92,28.69,34.60,43.11,29.55,27.68,28.05,43.80,38.23,29.14,30.55,26.87,26.57,37.24,49.10,29.48,24.32,21.81,22.68,20.25,16.52,17.82,14.81,15.07,16.04,19.68,18.97,26.91,33.31,16.87,19.06,22.21,21.40,15.85,20.01,16.11,25.50,18.10,20.01,33.91,29.18,23.13,23.72,28.24,25.32,20.23,20.00,19.34,22.61,26.36,30.93
서울특별시,11,강남구,11230,37.08,29.87,24.69,24.30,25.68,22.39,17.02,12.77,16.97,37.08,27.61,34.46,43.69,29.08,26.82,27.37,42.36,36.30,28.45,29.41,25.92,26.19,37.15,49.40,29.28,24.17,21.81,22.76,20.92,16.64,17.96,14.99,15.12,16.12,19.73,19.31,27.02,32.97,14.82,18.52,21.47,20.34,15.45,19.53,15.79,24.75,16.35,18.06,34.29,29.14,22.55,23.35,27.62,24.15,19.79,19.25,18.52,21.89,25.63,30.71
서울특별시,11,송파구,11240,35.98,28.41,24.09,23.82,24.78,21.25,15.75,11.74,15.78,35.98,26.42,33.23,42.00,27.86,26.24,26.49,40.68,34.73,27.63,28.31,24.48,25.42,36.02,48.38,29.00,23.81,21.45,22.29,20.62,16.24,17.57,14.74,14.85,15.89,19.56,19.29,27.10,32.86,14.36,18.20,21.00,19.88,15.18,19.15,15.47,24.22,16.16,17.88,33.57,28.35,21.74,22.90,26.96,23.24,19.20,18.64,17.79,21.28,24.63,29.74
서울특별시,11,강동구,11250,35.46,27.63,23.71,23.36,24.28,20.73,15.13,11.31,15.32,35.46,26.07,32.76,40.68,26.93,25.84,26.02,40.51,34.36,27.30,27.94,23.83,25.28,35.82,48.22,27.85,23.67,21.43,22.04,20.09,15.66,17.06,14.29,14.38,15.39,19.22,19.06,26.72,31.46,15.68,17.39,19.79,18.78,14.24,18.05,14.73,23.04,17.55,19.37,33.06,27.81,21.34,22.47,26.60,22.80,18.79,18.28,17.37,20.94,24.40,29.54
부산광역시,21,중구,21010,39.40,42.48,37.03,37.74,40.22,27.12,28.61,16.24,27.20,39.40,40.06,40.72,50.57,39.64,48.80,41.85,43.14,35.46,30.00,32.99,23.26,27.11,36.00,42.90,44.76,28.58,23.45,19.40,23.36,18.65,18.99,13.08,16.61,17.27,22.48,20.91,35.89,43.31,25.59,16.20,35.60,29.65,18.85,22.71,18.28,26.58,25.44,27.41,39.22,36.36,31.11,31.71,34.46,26.49,24.49,22.06,21.90,25.44,28.23,29.80
부산광역시,21,서구,21020,38.86,42.24,37.26,38.53,41.43,28.08,30.00,17.33,27.44,38.86,39.36,40.07,49.28,39.42,49.33,41.97,45.06,36.91,31.65,34.50,23.73,27.22,35.28,41.75,41.23,28.75,24.07,20.81,26.13,21.36,22.85,14.59,17.11,17.19,21.86,19.74,34.09,41.70,25.98,18.19,40.47,32.92,22.64,25.29,19.27,25.81,26.14,26.40,42.20,38.39,33.91,29.03,36.36,28.32,24.87,21.91,21.51,24.89,30.64,32.54
