SD_NM,SD_CD,SGG_NM,SGG_CD,2012_1,2012_2,2012_3,2012_4,2012_5,2012_6,2012_7,2012_8,2012_9,2012_10,2012_11,2012_12,2013_1,2013_2,2013_3,2013_4,2013_5,2013_6,2013_7,2013_8,2013_9,2013_10,2013_11,2013_12,2014_1,2014_2,2014_3,2014_4,2014_5,2014_6,2014_7,2014_8,2014_9,2014_10,2014_11,2014_12,2015_1,2015_2,2015_3,2015_4,2015_5,2015_6,2015_7,2015_8,2015_9,2015_10,2015_11,2015_12,1mth_avg,2mth_avg,3mth_avg,4mth_avg,5mth_avg,6mth_avg,7mth_avg,8mth_avg,9mth_avg,10mth_avg,11mth_avg,12mth_avg
서울특별시,11,서울특별시,11000,13,9,6,6,7,6,3,1,3,13,9,9,14,9,7,9,15,11,9,9,8,8,13,18,9,6,5,6,5,2,4,1,1,2,5,5,9,10,4,4,5,5,1,4,1,6,5,6,9,7,4,5,6,5,4,2,1,4,6,9
부산광역시,21,부산광역시,21000,33,35,31,31,37,16,20,6,17,33,33,34,42,33,43,32,41,33,23,25,14,16,27,36,37,21,15,10,16,10,11,4,5,6,10,10,28,35,12,5,31,22,10,13,8,15,11,14,32,26,19,15,26,15,13,9,9,10,15,18
대구광역시,22,대구광역시,22000,29,28,23,26,24,14,16,8,16,29,29,32,42,28,34,22,28,23,12,18,14,16,21,27,29,20,17,23,25,13,9,5,11,14,19,15,28,31,13,4,20,18,9,10,9,15,15,15,30,24,20,16,22,15,10,8,10,15,20,20
인천광역시,23,인천광역시,23000,55,42,32,31,36,24,13,9,16,55,33,44,65,40,39,36,70,60,35,40,36,36,54,75,34,29,25,30,21,17,19,12,12,17,25,18,34,51,18,19,25,23,12,20,12,31,21,21,45,37,26,27,35,28,17,18,16,24,32,37
광주광역시,24,광주광역시,24000,22,19,18,16,23,10,5,5,13,22,17,18,26,17,24,17,24,18,9,9,13,13,13,17,19,16,11,12,16,10,4,5,10,9,10,7,15,20,1,7,11,10,4,7,7,16,2,3,19,16,12,12,17,11,4,6,9,11,9,10
대전광역시,25,대전광역시,25000,44,52,44,48,52,30,39,11,30,44,44,44,60,44,56,36,56,48,29,39,20,24,30,44,46,33,26,26,32,17,18,3,10,16,22,17,38,51,18,13,43,34,19,20,14,27,14,16,44,39,29,25,41,30,19,13,16,19,20,26
울산광역시,26,울산광역시,26000,17,21,17,19,21,12,17,5,12,17,17,17,23,17,23,13,23,19,12,17,7,9,12,17,18,12,10,10,12,6,7,1,3,6,8,6,14,20,9,5,18,14,8,8,5,9,7,8,17,15,12,10,17,12,8,6,6,7,8,11
세종특별자치시,29,세종특별자치시,29010,1,1,1,1,1,1,0,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,2,2,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0
경기도,31,경기도,31000,85,61,55,54,60,42,24,12,28,85,59,75,107,63,67,68,111,93,55,66,54,55,82,119,62,49,38,42,39,25,26,19,21,26,34,29,56,78,12,27,37,38,19,33,22,48,17,20,66,53,31,36,51,39,23,25,25,30,38,47
강원도,32,강원도,32000,10,7,7,7,7,4,2,1,2,10,7,8,11,7,7,5,10,4,3,4,3,3,4,12,5,4,4,4,5,2,2,1,1,2,2,2,4,7,0,1,5,2,1,1,1,3,0,0,5,4,2,3,5,2,1,1,1,2,2,4
충청북도,33,충청북도,33000,20,16,17,16,17,11,7,4,11,20,16,22,26,17,21,17,20,15,7,11,8,10,13,20,19,15,12,12,11,5,4,3,5,6,12,8,15,20,2,4,12,9,4,6,4,11,3,3,18,15,10,9,14,7,4,4,5,7,8,11
충청남도,34,충청남도,34000,13,11,11,13,14,8,3,3,8,13,10,14,18,12,14,13,16,13,5,6,8,7,10,12,11,11,6,7,7,3,3,3,3,6,5,3,10,15,0,3,8,8,3,4,3,8,0,0,11,11,6,6,8,6,3,3,3,5,5,5
전라북도,35,전라북도,35000,17,10,14,14,17,6,4,4,8,17,11,16,19,14,16,13,16,13,5,4,9,9,9,12,12,14,5,6,9,5,2,2,3,3,4,3,9,13,1,3,5,6,3,3,3,11,2,1,11,10,5,5,9,6,2,2,4,5,4,5
전라남도,36,전라남도,36000,16,13,13,11,17,7,4,3,8,16,9,12,17,11,16,10,17,12,7,7,7,8,8,13,10,10,6,7,8,6,3,2,3,3,4,1,8,13,2,4,8,7,4,4,3,10,3,3,10,10,6,6,10,7,3,3,3,5,4,5
경상북도,37,경상북도,37000,28,27,23,27,25,13,15,5,14,28,26,28,49,34,47,30,39,32,19,25,18,19,30,40,33,20,19,23,30,13,11,4,8,11,18,11,29,38,14,4,24,19,9,11,7,17,17,17,30,26,20,16,26,16,11,8,8,11,18,18
경상남도,38,경상남도,38000,46,48,44,42,52,27,25,13,31,46,45,48,66,47,62,39,58,43,22,37,25,30,38,45,48,32,20,17,27,19,16,2,15,16,19,13,42,56,13,11,41,37,15,18,14,27,16,17,47,41,30,21,39,25,16,13,17,20,23,25
제주특별자치도,39,제주특별자치도,39000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
