cities_provinces,SD_CD,kor_cities_provinces,ANNUAL_PM2_5,burden,benefit,today_PM2_5,today_assess
Seoul,11,서울,24.2,1763.4,1252.5,25,보통
Busan,21,부산,25.9,947.4,675.5,63,나쁨
Daegu,22,대구,24.9,671.9,474.7,16,보통
Incheon,23,인천,27.6,309.4,234.3,76,매우나쁨
Gwangju,24,광주,24.1,656.8,492,40,나쁨
Daejeon,25,대전,27.2,342.2,244.6,76,매우나쁨
Ulsan,26,울산,24.6,222.3,160.3,75,나쁨
Sejong,29,세종,27.7,49.2,36.9,68,나쁨
Gyeonggi,31,경기,25,2352.3,1683.2,28,보통
Gangwon,32,강원,10.6,442.7,302.8,76,매우나쁨
Chungbuk,33,충북,26.4,403.4,301.5,39,나쁨
Chungnam,34,충남,25.8,577.9,421.6,70,나쁨
Jeollabu,35,전북,29.1,638.2,495.8,35,보통
Jeollana,36,전남,22.4,633.6,433.4,70,나쁨
Gyeongbu,37,경북,21.6,885.3,609,76,매우나쁨
Gyeongna,38,경남,25,963.4,692.5,42,나쁨
Jeju,39,제주,13.6,64.4,28.2,27,보통
